area,bedrooms,bathrooms,location,price
1283,3,3,Satna,1614527.6454351852
1057,2,3,Sagar,1119567.2713551593
1250,3,1,Pune,3104023.6893032743
683,1,3,Noida,1683260.0195095234
1457,3,2,Satna,1328674.5434564664
1110,2,3,Mumbai,2104865.229523155
1483,3,1,Jabalpur,1761582.2424454142
1298,3,2,Bhopal,1652432.0708173956
994,2,2,Noida,2383901.989282987
1274,3,1,Rewa,1520122.2766542805
783,1,3,Pune,1320082.163881309
1392,3,1,Satna,1619644.2602811127
1168,2,3,Mumbai,2150510.524280495
783,1,2,Bhopal,1117617.5550773495
757,1,2,Indore,853508.9190409768
1353,3,3,Bhopal,1605231.4060873364
1061,2,3,Pune,2317712.010169835
1321,3,1,Indore,1583618.0862075186
1473,3,2,Bhopal,1986909.5792043442
744,1,1,Bhopal,921496.9510530645
740,1,1,Mumbai,1459903.943875216
1186,2,1,Rewa,928459.4056600736
643,1,1,Indore,977584.2111076554
1324,3,1,Satna,1398948.5286077638
1298,3,1,Mumbai,3165335.7581040296
1049,2,1,Satna,993458.6944970735
763,1,1,Indore,1025193.1627493462
1466,3,3,Indore,1737820.6899232627
804,2,3,Rewa,1205907.7600130686
616,1,2,Jabalpur,1021182.2826889785
1049,2,3,Rewa,1087508.5334824377
1402,3,1,Satna,1662799.7790830075
691,1,2,Pune,1712695.0751718835
1362,3,3,Bhopal,1749351.9208339548
1212,3,3,Jabalpur,2063034.4971376264
713,1,3,Rewa,811853.9818163437
1003,2,2,Indore,1503783.3284561476
1421,3,2,Sagar,1243242.1623281585
1491,3,3,Mumbai,3067337.821447337
740,1,3,Indore,1062449.5312421029
1234,3,1,Bhopal,1901960.065753425
1459,3,1,Pune,2658936.53530066
1244,3,2,Pune,2983165.4613189963
1344,3,2,Pune,2814967.510016838
910,2,2,Satna,971009.4910009708
1191,2,3,Noida,2036430.4006437284
852,2,1,Rewa,1142466.893192655
612,1,1,Indore,989505.9066570224
982,2,3,Mumbai,2105788.216167347
853,2,2,Bhopal,1059547.6032320901
1134,2,1,Satna,1075662.6136722763
1463,3,1,Rewa,1264942.4313331246
1003,2,2,Sagar,1020118.4641538803
692,1,3,Mumbai,1355878.8405886304
1356,3,2,Satna,1581774.67292115
736,1,1,Noida,1789123.7623649228
1376,3,3,Noida,2662300.530902822
1385,3,1,Mumbai,2509742.9736467157
748,1,3,Rewa,867980.1674255369
707,1,1,Satna,663745.9481523123
739,1,1,Bhopal,1034767.2435783793
647,1,1,Jabalpur,905036.7303579836
1035,2,2,Noida,1923820.303604757
1428,3,1,Pune,2888520.962944835
783,1,2,Jabalpur,1003866.9777630473
736,1,3,Pune,1424421.2349996902
1109,2,1,Satna,931793.1827435312
612,1,3,Noida,1326481.5306819968
1301,3,1,Indore,1647601.1170356406
1197,2,1,Bhopal,1141746.8691726704
623,1,2,Bhopal,999211.977296297
664,1,2,Jabalpur,942168.2189832516
980,2,3,Jabalpur,1152500.024383655
1361,3,2,Sagar,1257218.7962582828
785,1,1,Rewa,659976.2876171782
734,1,2,Indore,1052006.0991321574
799,1,3,Sagar,774066.6286180932
1356,3,3,Sagar,1458274.1669611859
1289,3,2,Bhopal,2048473.089288515
1295,3,1,Satna,1527941.023353638
858,2,1,Mumbai,2400046.9956597686
1225,3,2,Sagar,1544333.2731813404
703,1,1,Satna,788420.4408927021
1248,3,3,Mumbai,3172503.1020018463
773,1,3,Sagar,683499.7577605272
683,1,2,Indore,953963.3447897217
814,2,2,Pune,2062872.1751794175
1189,2,1,Indore,1161034.490309742
805,2,2,Noida,2214939.8289968157
674,1,3,Mumbai,1743145.826575556
1154,2,1,Bhopal,1301702.8726937217
1338,3,2,Sagar,1407967.8854317258
679,1,3,Indore,1128346.8282513951
1293,3,1,Satna,1443601.0791339134
843,2,2,Jabalpur,1081159.8418498542
1015,2,1,Indore,1436634.7616780757
1354,3,2,Indore,1512076.8053965743
1464,3,1,Bhopal,1775429.6612833843
1316,3,1,Noida,2342029.2752364497
1290,3,1,Rewa,1390263.8193124298
1056,2,1,Pune,1833149.955216732
704,1,3,Sagar,711780.5146697063
778,1,3,Satna,791981.789612673
908,2,3,Noida,2089905.2662987015
1441,3,2,Bhopal,1708302.9314480273
711,1,1,Noida,1606842.3626823397
1223,3,3,Bhopal,1776843.3740916993
1380,3,2,Sagar,1352221.9701336126
1112,2,1,Sagar,1063564.9191201502
1112,2,2,Indore,1512599.659453467
685,1,3,Noida,1674576.488413524
1038,2,3,Bhopal,1320989.2243248457
824,2,2,Indore,1236123.709328159
1246,3,2,Sagar,1651985.9476833493
630,1,3,Rewa,797379.8309636479
1338,3,2,Sagar,1409778.761482388
1301,3,1,Indore,1903440.0143120585
1491,3,1,Noida,2904446.810519337
1200,3,3,Jabalpur,1642049.930318222
880,2,3,Sagar,919717.2973672698
662,1,3,Mumbai,1690393.2437821655
1391,3,1,Rewa,1381718.5454396422
842,2,1,Noida,2306300.6618781057
1069,2,2,Mumbai,2375316.201343584
720,1,3,Jabalpur,969977.0157943364
1482,3,1,Mumbai,2753667.0057466784
771,1,3,Bhopal,939392.9681272524
1127,2,3,Sagar,1023207.2869095564
1409,3,3,Noida,2791648.047984415
674,1,1,Indore,885902.4433903511
717,1,1,Indore,875802.5246987955
711,1,2,Pune,1437723.696504495
1088,2,3,Rewa,1153978.1213247206
813,2,3,Rewa,1219473.8270850242
656,1,2,Sagar,688834.1239787221
1121,2,1,Mumbai,2395731.3257880965
768,1,2,Bhopal,875909.1951409227
609,1,3,Noida,1635727.6097337564
953,2,2,Jabalpur,1417576.8524220884
1219,3,3,Jabalpur,1748937.85924715
1489,3,3,Pune,2841268.757846386
1151,2,3,Sagar,1095813.8926113106
864,2,1,Bhopal,1058571.057193969
678,1,2,Indore,918802.6858035804
1168,2,1,Mumbai,2141759.85894289
1363,3,1,Sagar,1640662.2339758377
975,2,2,Jabalpur,1355128.2286112828
977,2,2,Jabalpur,1116818.5194216985
1292,3,3,Bhopal,1856868.683031252
1447,3,2,Noida,2750652.591080116
838,2,1,Satna,924439.4093615497
1246,3,3,Bhopal,1557903.7621512867
1130,2,2,Mumbai,2092019.852667276
837,2,3,Pune,2003744.7897818573
1120,2,3,Jabalpur,1214678.0502584663
1378,3,2,Satna,1503555.723226671
1483,3,1,Rewa,1579841.6996228045
655,1,1,Pune,1753462.493742843
1313,3,2,Satna,1508920.1469813716
697,1,3,Pune,1612257.099984117
660,1,2,Rewa,784277.1002815616
1202,3,1,Rewa,1341326.2629160497
1001,2,1,Indore,1537890.7642497865
908,2,3,Noida,2483195.1538982047
622,1,3,Satna,735660.8989966227
687,1,3,Bhopal,1065113.1485815563
705,1,2,Mumbai,1412015.9602670078
660,1,1,Indore,913321.7784497706
1060,2,1,Jabalpur,1491027.5481789245
757,1,3,Noida,1502119.080311867
711,1,3,Bhopal,923349.3178175661
684,1,3,Satna,836551.9415698145
1008,2,2,Mumbai,2218878.7820972796
961,2,3,Noida,2107906.2921822597
1326,3,3,Jabalpur,1737822.3101168727
1271,3,2,Satna,1728856.5325650002
673,1,3,Noida,1513916.5164736826
1153,2,1,Pune,2097603.1139553194
1444,3,1,Mumbai,2569651.5418450823
625,1,3,Satna,799393.2029477092
1302,3,3,Mumbai,2706609.271485973
770,1,2,Mumbai,1403750.7132458906
653,1,3,Sagar,806844.3420521934
685,1,1,Sagar,748689.1752538247
746,1,3,Noida,1792876.72263242
738,1,3,Noida,1384994.8193265984
1221,3,2,Satna,1431788.0362155146
1491,3,1,Satna,1586150.1742503655
1134,2,2,Jabalpur,1176978.1630986233
682,1,3,Noida,1360155.3623915352
1259,3,2,Bhopal,2007240.5273050645
861,2,3,Pune,2499321.5401119906
1006,2,1,Satna,814068.7031485091
711,1,2,Indore,1012890.2239723172
791,1,3,Indore,1076342.3731105528
1419,3,3,Sagar,1425111.7186715486
1263,3,3,Indore,1936255.2812867104
861,2,1,Indore,1168392.6389463139
839,2,3,Sagar,1122517.368500382
1017,2,2,Mumbai,2356676.2518605203
1183,2,2,Mumbai,2161954.88286547
765,1,3,Noida,1747284.7759426706
734,1,2,Bhopal,870990.0218765639
1478,3,1,Bhopal,2062020.2196887305
662,1,1,Indore,901268.5267141499
678,1,1,Noida,1568877.0022957218
1165,2,1,Satna,1175879.7371626277
1303,3,1,Rewa,1507213.2999707095
775,1,2,Jabalpur,1013559.2562968014
1362,3,1,Noida,2683156.1883083093
1490,3,3,Indore,1542277.3006707106
1313,3,2,Satna,1506806.2166733767
1202,3,2,Noida,2800688.652673004
624,1,1,Noida,1322946.4874519357
1075,2,2,Sagar,1113871.0896032718
1382,3,3,Pune,2817134.548147312
712,1,2,Bhopal,1015652.6585617799
954,2,1,Pune,2273977.8659437764
768,1,1,Rewa,755200.4122467309
749,1,1,Jabalpur,893043.7132199797
1441,3,2,Jabalpur,1989616.756019287
747,1,2,Pune,1571302.96234206
955,2,2,Noida,2020659.3916434918
1092,2,1,Pune,2285022.4798448933
1347,3,3,Jabalpur,1616422.1007587132
927,2,2,Mumbai,2283977.9557379545
1354,3,3,Satna,1533718.4767549115
1378,3,1,Noida,2466608.176784762
1406,3,1,Satna,1607567.6616764003
1179,2,2,Bhopal,1086754.9991787947
1050,2,3,Pune,2122829.2792321835
1070,2,2,Bhopal,1131537.2348603671
1292,3,3,Satna,1402894.4599434817
924,2,3,Mumbai,2083872.6736004653
1182,2,3,Satna,1007135.7767478417
810,2,2,Rewa,1073653.4798573523
927,2,2,Satna,925920.6819151117
1344,3,2,Rewa,1434941.9804866791
1383,3,2,Indore,1751793.5435105937
975,2,1,Sagar,1054369.0176138738
681,1,2,Indore,924429.7782929576
787,1,3,Jabalpur,954396.1443023272
1386,3,3,Bhopal,2033579.0924066321
